question,features,discernatron_reliable,classifier,accuracy
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,C5.0,0.6261
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,C5.0,0.6261
"If someone searched for '...', would they want to read this article?",survey-only,TRUE,nb,0.6846
"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,nb,0.6547
"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,nb,0.6741
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,nb,0.6338
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-weekday",TRUE,nb,0.5142
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform",TRUE,nb,0.6682
"If someone searched for '...', would they want to read this article?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,nb,0.7025
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic-by-platform-and-weekday",TRUE,nb,0.3632
"If someone searched for '...', would they want to read this article?","survey, page info, pagesize, and pageviews",TRUE,nb,0.6293
"If someone searched for '...', would they want to read this article?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,nb,0.6547
"If someone searched for '...', would they want to read this article?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,nb,0.6293
"If someone searched for '...', would they want to read this article?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,nb,0.6263
"If someone searched for '...', would they want to read this article?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,nb,0.6547
"If someone searched for '...', would they want to read this article?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,nb,0.6547
"If you searched for '...', would this article be a good result?",survey-only,TRUE,nb,0.6532
"If you searched for '...', would this article be a good result?",survey & page info,TRUE,nb,0.3273
"If you searched for '...', would this article be a good result?",survey & traffic,TRUE,nb,0.6366
"If you searched for '...', would this article be a good result?","survey, page info, and traffic",TRUE,nb,0.3303
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-weekday",TRUE,nb,0.3664
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform",TRUE,nb,0.3453
"If you searched for '...', would this article be a good result?","survey, page info, traffic-by-weekday, and traffic-by-platform",TRUE,nb,0.3694
"If you searched for '...', would this article be a good result?","survey, page info, and traffic-by-platform-and-weekday",TRUE,nb,0.3393
"If you searched for '...', would this article be a good result?","survey, page info, pagesize, and pageviews",TRUE,nb,0.3634
"If you searched for '...', would this article be a good result?","survey, page info, log10-pagesize, and log10-pageviews",TRUE,nb,0.3378
"If you searched for '...', would this article be a good result?","survey, page info, standardized pagesize, and standardized pageviews",TRUE,nb,0.3604
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",TRUE,nb,0.3589
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",TRUE,nb,0.3378
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",TRUE,nb,0.3378
"If you searched for '...', would this article be relevant?",survey-only,TRUE,nb,0.6702
"If you searched for '...', would this article be relevant?",survey & page info,TRUE,nb,0.6462
"If you searched for '...', would this article be relevant?",survey & traffic,TRUE,nb,0.6657
